date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses
4/27/18,1393767287,764479,65594600000,662.11,2598130000,20369.90625,486.7802802,333755
4/28/18,1158387523,775321,63877700000,644.65,2496660000,20268,518.9793615,336484
4/29/18,1136068851,756651,67782400000,683.91,2740560000,20730.75,546.6994679,311136
4/30/18,1389232960,778133,68376400000,689.76,2853100000,20547.84375,566.5703318,351506
5/1/18,1263562591,713839,66477200000,670.46,2678960000,20449.21875,444.8190941,318285
5/2/18,1800821835,787722,66849100000,674.08,2822270000,20866.03125,476.3513384,354322
5/3/18,1970489267,839586,68104600000,686.59,4210940000,20616.09375,569.7496083,386468
5/4/18,2009753370,1000526,77066200000,776.77,3533410000,20592.5625,545.7123579,638526
5/5/18,1363185531,789261,77857000000,784.58,3035040000,20715.28125,428.6602544,389456
5/6/18,1246618282,691273,81000200000,816.09,3105570000,20624.34375,383.3744288,367165
5/7/18,2345873896,789863,78758700000,793.34,4316120000,20720.8125,443.7282341,396944
5/8/18,1597145115,820098,74969200000,755.01,2920490000,20376.1875,496.3102784,395700
